Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att.1,Yds.2,TD.1,Lng.1,Tgt,Rec,Yds.3,TD.2,Lng.2,Fmb,FL,fecha,team
Tua Tagovailoa,MIA,18,24,280,2,0,0,0,78,141.0,0,0,0,0,0,0,0,0,0,0,0,202312030,was
Mike White,MIA,1,1,3,0,0,0,0,3,79.2,0,0,0,0,0,0,0,0,0,0,0,202312030,was
De'Von Achane,MIA,0,0,0,0,0,0,0,0,,17,73,2,15,4,3,30,0,21,0,0,202312030,was
Raheem Mostert,MIA,0,0,0,0,0,0,0,0,,11,43,1,12,1,1,8,0,8,0,0,202312030,was
Jeff Wilson,MIA,0,0,0,0,0,0,0,0,,4,11,0,6,0,0,0,0,0,0,0,202312030,was
Jaylen Waddle,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,52,0,16,0,0,202312030,was
Julian Hill,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,23,0,18,0,0,202312030,was
River Cracraft,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,16,0,13,0,0,202312030,was
Alec Ingold,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,-3,0,-3,0,0,202312030,was
Tyreek Hill,MIA,0,0,0,0,0,0,0,0,,2,-4,0,6,7,5,157,2,78,0,0,202312030,was
Sam Howell,WAS,12,23,127,0,1,3,20,33,50.5,4,21,2,13,0,0,0,0,0,0,0,202312030,was
Brian Robinson Jr.,WAS,0,0,0,0,0,0,0,0,,7,53,0,29,0,0,0,0,0,0,0,202312030,was
Antonio Gibson,WAS,0,0,0,0,0,0,0,0,,10,35,0,9,5,4,37,0,32,1,0,202312030,was
Chris Rodriguez,WAS,0,0,0,0,0,0,0,0,,7,29,0,15,0,0,0,0,0,0,0,202312030,was
Curtis Samuel,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,65,0,33,0,0,202312030,was
Jahan Dotson,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,23,0,12,0,0,202312030,was
Cole Turner,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,2,0,0,202312030,was
Terry McLaurin,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,202312030,was
Logan Thomas,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,202312030,was
Dyami Brown,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0,202312030,was
John Bates,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,202312030,was
