Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att.1,Yds.2,TD.1,Lng.1,Tgt,Rec,Yds.3,TD.2,Lng.2,Fmb,FL,fecha,team
Brett Rypien,LAR,13,28,130,0,1,1,11,34,45.2,3,19,0,8,0,0,0,0,0,2,1,202311050,gnb
Royce Freeman,LAR,0,0,0,0,0,0,0,0,,12,32,0,7,1,0,0,0,0,0,0,202311050,gnb
Darrell Henderson,LAR,0,0,0,0,0,0,0,0,,10,19,0,6,2,2,16,0,8,0,0,202311050,gnb
Cooper Kupp,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,7,2,48,0,34,0,0,202311050,gnb
Puka Nacua,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,7,3,32,0,18,0,0,202311050,gnb
Demarcus Robinson,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,15,0,15,0,0,202311050,gnb
Tutu Atwell,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,13,0,5,0,0,202311050,gnb
Austin Trammell,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0,202311050,gnb
Tyler Higbee,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,202311050,gnb
Ben Skowronek,LAR,0,0,0,0,0,0,0,0,,1,-2,0,-2,0,0,0,0,0,0,0,202311050,gnb
Jordan Love,GNB,20,26,228,1,0,4,21,37,115.5,4,7,0,8,0,0,0,0,0,1,0,202311050,gnb
Aaron Jones,GNB,0,0,0,0,0,0,0,0,,20,73,1,9,6,4,26,0,13,1,1,202311050,gnb
Emanuel Wilson,GNB,0,0,0,0,0,0,0,0,,4,43,0,31,0,0,0,0,0,0,0,202311050,gnb
AJ Dillon,GNB,0,0,0,0,0,0,0,0,,9,40,0,12,1,1,3,0,3,0,0,202311050,gnb
Jayden Reed,GNB,0,0,0,0,0,0,0,0,,1,21,0,21,3,3,19,0,11,0,0,202311050,gnb
Luke Musgrave,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,51,1,25,0,0,202311050,gnb
Dontayvion Wicks,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,49,0,18,1,1,202311050,gnb
Christian Watson,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,37,0,37,0,0,202311050,gnb
Romeo Doubs,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,36,0,17,0,0,202311050,gnb
Josiah Deguara,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,0,7,0,0,202311050,gnb
Malik Heath,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,202311050,gnb
