Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att.1,Yds.2,TD.1,Lng.1,Tgt,Rec,Yds.3,TD.2,Lng.2,Fmb,FL,fecha,team
Dak Prescott,DAL,25,38,189,2,0,0,0,24,95.2,2,6,0,3,0,0,0,0,0,0,0,202311190,car
Cooper Rush,DAL,2,3,15,0,0,0,0,10,78.5,3,-3,0,-1,0,0,0,0,0,0,0,202311190,car
Tony Pollard,DAL,0,0,0,0,0,0,0,0,,12,61,1,22,5,4,19,0,12,0,0,202311190,car
Rico Dowdle,DAL,0,0,0,0,0,0,0,0,,8,23,0,11,2,2,-3,0,-1,0,0,202311190,car
KaVontae Turpin,DAL,0,0,0,0,0,0,0,0,,1,13,0,13,3,2,10,0,10,0,0,202311190,car
CeeDee Lamb,DAL,0,0,0,0,0,0,0,0,,1,7,0,7,9,6,38,1,10,0,0,202311190,car
Brandin Cooks,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,42,0,22,0,0,202311190,car
Jake Ferguson,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,32,0,24,0,0,202311190,car
Michael Gallup,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,31,0,19,0,0,202311190,car
Luke Schoonmaker,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,23,1,18,0,0,202311190,car
Jalen Tolbert,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,12,0,7,0,0,202311190,car
Bryce Young,CAR,16,29,123,1,1,7,46,20,62.9,2,3,0,4,0,0,0,0,0,1,1,202311190,car
Chuba Hubbard,CAR,0,0,0,0,0,0,0,0,,10,57,0,14,2,2,8,0,6,0,0,202311190,car
Miles Sanders,CAR,0,0,0,0,0,0,0,0,,11,50,0,15,1,1,2,0,2,0,0,202311190,car
Adam Thielen,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,11,8,74,0,16,1,0,202311190,car
Stephen Sullivan,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,20,0,20,0,0,202311190,car
Laviska Shenault Jr.,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,9,0,5,0,0,202311190,car
Jonathan Mingo,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,6,1,6,0,6,0,0,202311190,car
Tommy Tremble,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,4,1,4,0,0,202311190,car
