Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att.1,Yds.2,TD.1,Lng.1,Tgt,Rec,Yds.3,TD.2,Lng.2,Fmb,FL,fecha,team
C.J. Stroud,HOU,28,44,242,0,0,5,46,26,78.0,4,20,0,11,1,1,0,0,0,1,1,202309100,rav
Dameon Pierce,HOU,0,0,0,0,0,0,0,0,,11,38,0,7,3,2,9,0,9,0,0,202309100,rav
Devin Singletary,HOU,0,0,0,0,0,0,0,0,,7,15,0,4,0,0,0,0,0,0,0,202309100,rav
Nico Collins,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,11,6,80,0,26,0,0,202309100,rav
Robert Woods,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,10,6,57,0,19,0,0,202309100,rav
Tank Dell,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,34,0,13,0,0,202309100,rav
Mike Boone,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,18,0,12,0,0,202309100,rav
Teagan Quitoriano,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,11,0,11,0,0,202309100,rav
Xavier Hutchinson,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0,9,0,0,202309100,rav
Dalton Schultz,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,4,0,5,0,0,202309100,rav
Noah Brown,HOU,0,0,0,0,0,0,0,0,,1,-1,0,-1,4,3,20,0,7,0,0,202309100,rav
Lamar Jackson,BAL,17,22,169,0,1,4,14,29,79.5,6,38,0,14,0,0,0,0,0,2,1,202309100,rav
Gus Edwards,BAL,0,0,0,0,0,0,0,0,,8,32,0,13,0,0,0,0,0,0,0,202309100,rav
J.K. Dobbins,BAL,0,0,0,0,0,0,0,0,,8,22,1,4,3,2,15,0,10,0,0,202309100,rav
Zay Flowers,BAL,0,0,0,0,0,0,0,0,,2,9,0,6,10,9,78,0,21,0,0,202309100,rav
Justice Hill,BAL,0,0,0,0,0,0,0,0,,8,9,2,4,0,0,0,0,0,0,0,202309100,rav
Odell Beckham Jr.,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,37,0,29,0,0,202309100,rav
Rashod Bateman,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,35,0,18,0,0,202309100,rav
Isaiah Likely,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,4,0,0,202309100,rav
Charlie Kolar,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,202309100,rav
