Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att.1,Yds.2,TD.1,Lng.1,Tgt,Rec,Yds.3,TD.2,Lng.2,Fmb,FL,fecha,team
Justin Herbert,LAC,27,35,336,1,2,1,8,27,92.1,4,15,0,8,0,0,0,0,0,0,0,202112260,htx
Justin Jackson,LAC,0,0,0,0,0,0,0,0,,11,64,2,17,9,8,98,0,25,1,1,202112260,htx
Joshua Kelley,LAC,0,0,0,0,0,0,0,0,,5,7,0,5,1,1,14,0,14,0,0,202112260,htx
Maurice Ffrench,LAC,0,0,0,0,0,0,0,0,,1,3,0,3,0,0,0,0,0,0,0,202112260,htx
Jason Moore,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,56,0,24,0,0,202112260,htx
Jared Cook,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,44,0,18,0,0,202112260,htx
Josh Palmer,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,43,1,12,0,0,202112260,htx
Keenan Allen,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,35,0,15,0,0,202112260,htx
Stephen Anderson,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,34,0,27,0,0,202112260,htx
Tre' McKitty,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,12,0,12,0,0,202112260,htx
Davis Mills,HOU,21,27,254,2,0,1,6,41,130.6,1,-1,0,-1,0,0,0,0,0,0,0,202112260,htx
Rex Burkhead,HOU,0,0,0,0,0,0,0,0,,22,149,2,36,2,2,0,0,4,0,0,202112260,htx
Royce Freeman,HOU,0,0,0,0,0,0,0,0,,12,34,0,13,0,0,0,0,0,0,0,202112260,htx
Tremon Smith,HOU,0,0,0,0,0,0,0,0,,1,7,0,7,0,0,0,0,0,0,0,202112260,htx
Chris Conley,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,60,1,41,0,0,202112260,htx
Brevin Jordan,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,56,0,27,0,0,202112260,htx
Phillip Dorsett,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,55,0,36,0,0,202112260,htx
Chris Moore,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,40,0,23,0,0,202112260,htx
Nico Collins,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,33,1,13,0,0,202112260,htx
Pharaoh Brown,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,10,0,6,0,0,202112260,htx
Jordan Akins,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,202112260,htx
