Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att.1,Yds.2,TD.1,Lng.1,Tgt,Rec,Yds.3,TD.2,Lng.2,Fmb,FL,fecha,team
Carson Wentz,IND,24,32,228,2,0,2,18,41,115.1,5,8,0,10,0,0,0,0,0,0,0,202110030,mia
Jonathan Taylor,IND,0,0,0,0,0,0,0,0,,16,103,1,38,3,3,11,0,7,0,0,202110030,mia
Marlon Mack,IND,0,0,0,0,0,0,0,0,,10,22,0,12,2,1,1,0,1,0,0,202110030,mia
Nyheim Hines,IND,0,0,0,0,0,0,0,0,,2,6,0,7,2,2,5,0,3,1,1,202110030,mia
Michael Pittman Jr.,IND,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,59,0,20,0,0,202110030,mia
Zach Pascal,IND,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,44,0,41,0,0,202110030,mia
Mo Alie-Cox,IND,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,42,2,28,0,0,202110030,mia
Jack Doyle,IND,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,24,0,24,0,0,202110030,mia
Parris Campbell,IND,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,22,0,12,0,0,202110030,mia
Ashton Dulin,IND,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,17,0,17,0,0,202110030,mia
Kylen Granson,IND,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,3,0,3,0,0,202110030,mia
Jacoby Brissett,MIA,20,30,199,2,0,3,31,42,107.5,3,8,0,6,0,0,0,0,0,2,1,202110030,mia
Malcolm Brown,MIA,0,0,0,0,0,0,0,0,,8,23,0,4,1,1,4,0,4,0,0,202110030,mia
Myles Gaskin,MIA,0,0,0,0,0,0,0,0,,2,3,0,3,0,0,0,0,0,0,0,202110030,mia
Salvon Ahmed,MIA,0,0,0,0,0,0,0,0,,3,1,0,4,2,2,12,0,8,0,0,202110030,mia
DeVante Parker,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,9,4,77,1,42,0,0,202110030,mia
Mike Gesicki,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,57,1,22,0,0,202110030,mia
Jaylen Waddle,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,33,0,18,0,0,202110030,mia
Albert Wilson,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,11,0,11,0,0,202110030,mia
Will Fuller,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,6,0,6,0,0,202110030,mia
Durham Smythe,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,6,0,4,0,0,202110030,mia
Adam Shaheen,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,202110030,mia
Jakeem Grant,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,-7,0,-7,1,1,202110030,mia
