Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att.1,Yds.2,TD.1,Lng.1,Tgt,Rec,Yds.3,TD.2,Lng.2,Fmb,FL,fecha,team
Sam Darnold,CAR,17,26,132,0,1,7,42,21,61.7,2,7,0,6,0,0,0,0,0,1,1,202201020,nor
Chuba Hubbard,CAR,0,0,0,0,0,0,0,0,,17,55,1,21,4,3,13,0,17,0,0,202201020,nor
Ameer Abdullah,CAR,0,0,0,0,0,0,0,0,,6,21,0,15,4,4,31,0,17,0,0,202201020,nor
Cam Newton,CAR,0,0,0,0,0,0,0,0,,1,5,0,5,0,0,0,0,0,0,0,202201020,nor
Ian Thomas,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,33,0,21,0,0,202201020,nor
D.J. Moore,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,8,3,29,0,20,0,0,202201020,nor
Terrace Marshall Jr.,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,16,0,8,0,0,202201020,nor
Robbie Chosen,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,10,0,7,0,0,202201020,nor
Shi Smith,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,202201020,nor
Taysom Hill,NOR,17,28,222,1,0,2,15,30,97.6,12,45,0,14,0,0,0,0,0,0,0,202201020,nor
Alvin Kamara,NOR,0,0,0,0,0,0,0,0,,13,32,0,30,6,5,68,1,29,0,0,202201020,nor
Adam Prentice,NOR,0,0,0,0,0,0,0,0,,1,2,0,2,1,1,4,0,4,0,0,202201020,nor
Marquez Callaway,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,10,6,97,0,30,0,0,202201020,nor
Lil'Jordan Humphrey,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,26,0,18,0,0,202201020,nor
Deonte Harty,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,23,0,14,0,0,202201020,nor
Juwan Johnson,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,4,0,4,0,0,202201020,nor
Tony Jones,NOR,0,0,0,0,0,0,0,0,,1,-2,0,-2,0,0,0,0,0,0,0,202201020,nor
Ty Montgomery,NOR,0,0,0,0,0,0,0,0,,1,-4,0,-4,0,0,0,0,0,0,0,202201020,nor
