Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att.1,Yds.2,TD.1,Lng.1,Tgt,Rec,Yds.3,TD.2,Lng.2,Fmb,FL,fecha,team
Jalen Hurts,PHI,9,14,103,0,0,0,0,19,86.3,7,71,0,21,0,0,0,0,0,0,0,202110310,det
Gardner Minshew II,PHI,2,2,11,0,0,0,0,9,89.6,0,0,0,0,0,0,0,0,0,0,0,202110310,det
Boston Scott,PHI,0,0,0,0,0,0,0,0,,12,60,2,19,1,0,0,0,0,0,0,202110310,det
Jordan Howard,PHI,0,0,0,0,0,0,0,0,,12,57,2,10,0,0,0,0,0,0,0,202110310,det
Kenneth Gainwell,PHI,0,0,0,0,0,0,0,0,,13,27,0,8,0,0,0,0,0,0,0,202110310,det
Jalen Reagor,PHI,0,0,0,0,0,0,0,0,,2,21,0,11,2,1,0,0,0,0,0,202110310,det
Dallas Goedert,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,72,0,19,0,0,202110310,det
Quez Watkins,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,18,0,16,0,0,202110310,det
DeVonta Smith,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,15,0,15,0,0,202110310,det
Jack Stoll,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0,9,0,0,202110310,det
Jared Goff,DET,25,34,222,0,0,5,45,34,90.6,0,0,0,0,0,0,0,0,0,1,0,202110310,det
David Blough,DET,0,0,0,0,0,1,6,0,,1,6,0,6,0,0,0,0,0,1,0,202110310,det
D'Andre Swift,DET,0,0,0,0,0,0,0,0,,12,27,0,7,5,5,24,0,8,1,1,202110310,det
Godwin Igwebuike,DET,0,0,0,0,0,0,0,0,,3,18,0,9,3,3,40,0,18,0,0,202110310,det
Jermar Jefferson,DET,0,0,0,0,0,0,0,0,,2,6,1,8,4,4,23,0,11,0,0,202110310,det
T.J. Hockenson,DET,0,0,0,0,0,0,0,0,,0,0,0,0,11,10,89,0,18,0,0,202110310,det
Amon-Ra St. Brown,DET,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,46,0,34,0,0,202110310,det
Tom Kennedy,DET,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,202110310,det
KhaDarel Hodge,DET,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0,202110310,det
Kalif Raymond,DET,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,202110310,det
