Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att.1,Yds.2,TD.1,Lng.1,Tgt,Rec,Yds.3,TD.2,Lng.2,Fmb,FL,fecha,team
Carson Wentz,IND,11,20,106,1,0,0,0,23,86.7,2,18,0,18,0,0,0,0,0,1,0,202111210,buf
Jonathan Taylor,IND,0,0,0,0,0,0,0,0,,32,185,4,40,3,3,19,1,23,0,0,202111210,buf
Nyheim Hines,IND,0,0,0,0,0,0,0,0,,4,31,0,19,0,0,0,0,0,0,0,202111210,buf
Deon Jackson,IND,0,0,0,0,0,0,0,0,,6,12,0,4,0,0,0,0,0,0,0,202111210,buf
Sam Ehlinger,IND,0,0,0,0,0,0,0,0,,1,9,0,9,0,0,0,0,0,0,0,202111210,buf
Zach Pascal,IND,0,0,0,0,0,0,0,0,,1,9,0,9,1,0,0,0,0,0,0,202111210,buf
Jack Doyle,IND,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,30,0,18,0,0,202111210,buf
T.Y. Hilton,IND,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,26,0,18,0,0,202111210,buf
Michael Pittman Jr.,IND,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,23,0,18,0,0,202111210,buf
Kylen Granson,IND,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,8,0,8,0,0,202111210,buf
Mo Alie-Cox,IND,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,202111210,buf
Dezmon Patmon,IND,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,202111210,buf
Josh Allen,BUF,21,35,209,2,2,1,8,31,72.2,2,18,0,10,0,0,0,0,0,1,0,202111210,buf
Mitchell Trubisky,BUF,3,5,19,0,1,0,0,8,28.3,0,0,0,0,0,0,0,0,0,0,0,202111210,buf
Matt Breida,BUF,0,0,0,0,0,0,0,0,,5,51,0,28,2,1,16,0,16,0,0,202111210,buf
Devin Singletary,BUF,0,0,0,0,0,0,0,0,,3,17,0,9,4,3,26,0,14,0,0,202111210,buf
Zack Moss,BUF,0,0,0,0,0,0,0,0,,3,5,0,3,1,0,0,0,0,0,0,202111210,buf
Dawson Knox,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,10,6,80,0,31,0,0,202111210,buf
Gabriel Davis,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,27,0,20,0,0,202111210,buf
Emmanuel Sanders,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,26,0,10,0,0,202111210,buf
Cole Beasley,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,23,0,7,0,0,202111210,buf
Stefon Diggs,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,23,2,9,0,0,202111210,buf
Reggie Gilliam,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,0,7,0,0,202111210,buf
Tommy Sweeney,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,202111210,buf
