Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att.1,Yds.2,TD.1,Lng.1,Tgt,Rec,Yds.3,TD.2,Lng.2,Fmb,FL,fecha,team
Kyler Murray,ARI,19,34,137,0,2,2,15,23,40.9,2,6,0,7,0,0,0,0,0,0,0,202201170,ram
Chase Edmonds,ARI,0,0,0,0,0,0,0,0,,8,28,0,10,1,0,0,0,0,0,0,202201170,ram
James Conner,ARI,0,0,0,0,0,0,0,0,,4,19,1,11,2,1,5,0,5,0,0,202201170,ram
Eno Benjamin,ARI,0,0,0,0,0,0,0,0,,4,8,0,5,2,2,26,0,13,0,0,202201170,ram
Christian Kirk,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,11,6,51,0,23,1,0,202201170,ram
Rondale Moore,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,32,0,11,0,0,202201170,ram
Zach Ertz,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,21,0,12,0,0,202201170,ram
Darrell Daniels,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,2,0,2,0,0,202201170,ram
Antoine Wesley,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0,202201170,ram
A.J. Green,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,202201170,ram
Matthew Stafford,LAR,13,17,202,2,0,1,7,41,154.5,6,22,1,10,0,0,0,0,0,0,0,202201170,ram
Odell Beckham Jr.,LAR,1,1,40,0,0,0,0,40,118.7,0,0,0,0,4,4,54,1,31,0,0,202201170,ram
Sony Michel,LAR,0,0,0,0,0,0,0,0,,13,58,0,35,0,0,0,0,0,0,0,202201170,ram
Cam Akers,LAR,0,0,0,0,0,0,0,0,,17,55,0,15,2,1,40,0,40,0,0,202201170,ram
Jake Funk,LAR,0,0,0,0,0,0,0,0,,2,5,0,8,0,0,0,0,0,0,0,202201170,ram
Cooper Kupp,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,61,1,29,0,0,202201170,ram
Tyler Higbee,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,46,0,22,0,0,202201170,ram
Van Jefferson,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,41,0,41,0,0,202201170,ram
