Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att.1,Yds.2,TD.1,Lng.1,Tgt,Rec,Yds.3,TD.2,Lng.2,Fmb,FL,fecha,team
Tom Brady,TAM,22,40,381,2,0,3,16,36,104.3,3,-2,0,0,0,0,0,0,0,0,0,202101090,was
Leonard Fournette,TAM,0,0,0,0,0,0,0,0,,19,93,1,17,4,4,39,0,22,0,0,202101090,was
Antonio Brown,TAM,0,0,0,0,0,0,0,0,,1,22,0,22,3,2,49,1,36,0,0,202101090,was
Ke'Shawn Vaughn,TAM,0,0,0,0,0,0,0,0,,5,21,0,6,1,0,0,0,0,1,1,202101090,was
Scott Miller,TAM,0,0,0,0,0,0,0,0,,1,8,0,8,1,1,15,0,15,0,0,202101090,was
Mike Evans,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,10,6,119,0,35,0,0,202101090,was
Cameron Brate,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,80,0,24,1,0,202101090,was
Chris Godwin,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,12,5,79,1,27,0,0,202101090,was
Rob Gronkowski,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,202101090,was
Taylor Heinicke,WAS,26,44,306,1,1,2,17,36,78.4,6,46,1,13,0,0,0,0,0,0,0,202101090,was
Antonio Gibson,WAS,0,0,0,0,0,0,0,0,,14,31,0,11,3,2,4,0,3,0,0,202101090,was
J.D. McKissic,WAS,0,0,0,0,0,0,0,0,,2,5,1,3,3,2,8,0,7,0,0,202101090,was
Steven Sims,WAS,0,0,0,0,0,0,0,0,,1,4,0,4,4,3,33,1,12,0,0,202101090,was
Cam Sims,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,13,7,104,0,36,0,0,202101090,was
Terry McLaurin,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,75,0,18,0,0,202101090,was
Logan Thomas,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,9,5,74,0,29,0,0,202101090,was
Jeremy Sprinkle,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0,8,0,0,202101090,was
Isaiah Wright,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,202101090,was
