Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att.1,Yds.2,TD.1,Lng.1,Tgt,Rec,Yds.3,TD.2,Lng.2,Fmb,FL,fecha,team
Russell Wilson,SEA,28,41,390,2,2,5,28,55,94.6,2,5,1,4,0,0,0,0,0,2,2,202011080,buf
DeeJay Dallas,SEA,0,0,0,0,0,0,0,0,,7,31,1,10,2,2,8,0,5,0,0,202011080,buf
Travis Homer,SEA,0,0,0,0,0,0,0,0,,6,16,0,11,3,3,64,0,50,0,0,202011080,buf
Alex Collins,SEA,0,0,0,0,0,0,0,0,,2,5,0,8,0,0,0,0,0,0,0,202011080,buf
D.K. Metcalf,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,9,7,108,1,41,0,0,202011080,buf
David Moore,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,71,1,55,0,0,202011080,buf
Jacob Hollister,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,60,0,19,0,0,202011080,buf
Tyler Lockett,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,40,0,12,0,0,202011080,buf
Will Dissly,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,26,0,26,0,0,202011080,buf
Greg Olsen,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,13,0,8,0,0,202011080,buf
Freddie Swain,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0,202011080,buf
Josh Allen,BUF,31,38,415,3,0,7,29,39,138.5,7,14,1,7,0,0,0,0,0,0,0,202011080,buf
Zack Moss,BUF,0,0,0,0,0,0,0,0,,9,18,1,7,2,2,30,0,20,0,0,202011080,buf
Devin Singletary,BUF,0,0,0,0,0,0,0,0,,2,1,0,2,3,3,33,0,22,0,0,202011080,buf
Isaiah McKenzie,BUF,0,0,0,0,0,0,0,0,,1,1,0,1,1,1,25,1,25,0,0,202011080,buf
Stefon Diggs,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,12,9,118,0,25,0,0,202011080,buf
John Brown,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,11,8,99,0,33,0,0,202011080,buf
Gabriel Davis,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,70,1,39,0,0,202011080,buf
Cole Beasley,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,39,0,23,0,0,202011080,buf
Tyler Kroft,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,1,1,0,0,202011080,buf
