Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att.1,Yds.2,TD.1,Lng.1,Tgt,Rec,Yds.3,TD.2,Lng.2,Fmb,FL,fecha,team
Baker Mayfield,TAM,24,36,325,4,3,1,8,55,97.6,3,29,0,12,0,0,0,0,0,0,0,202410130,nor
Sean Tucker,TAM,0,0,0,0,0,0,0,0,,14,136,1,36,3,3,56,1,36,0,0,202410130,nor
Bucky Irving,TAM,0,0,0,0,0,0,0,0,,14,81,1,31,2,2,24,0,18,0,0,202410130,nor
Sterling Shepard,TAM,0,0,0,0,0,0,0,0,,4,31,0,24,4,3,23,0,9,0,0,202410130,nor
Chris Godwin,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,13,11,125,2,55,0,0,202410130,nor
Ryan Miller,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,39,0,39,0,0,202410130,nor
Mike Evans,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,6,2,34,0,22,0,0,202410130,nor
Cade Otton,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,6,2,15,1,8,0,0,202410130,nor
Tristan Wirfs,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,9,0,9,1,0,202410130,nor
Jalen McMillan,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,202410130,nor
Spencer Rattler,NOR,22,40,243,1,2,5,21,41,60.7,4,27,0,16,0,0,0,0,0,1,0,202410130,nor
Alvin Kamara,NOR,0,0,0,0,0,0,0,0,,13,40,1,7,8,5,24,0,8,1,0,202410130,nor
Jamaal Williams,NOR,0,0,0,0,0,0,0,0,,2,7,0,9,0,0,0,0,0,0,0,202410130,nor
Jordan Mims,NOR,0,0,0,0,0,0,0,0,,1,5,0,5,4,2,13,0,10,0,0,202410130,nor
Rashid Shaheed,NOR,0,0,0,0,0,0,0,0,,1,2,0,2,7,1,11,0,11,0,0,202410130,nor
Foster Moreau,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,54,0,41,0,0,202410130,nor
Juwan Johnson,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,48,0,27,0,0,202410130,nor
Bub Means,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,45,1,14,0,0,202410130,nor
Cedrick Wilson Jr.,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,28,0,25,0,0,202410130,nor
Mason Tipton,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,15,0,15,0,0,202410130,nor
Chris Olave,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,5,1,1,202410130,nor
