Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att.1,Yds.2,TD.1,Lng.1,Tgt,Rec,Yds.3,TD.2,Lng.2,Fmb,FL,fecha,team
Bailey Zappe,CLE,16,31,170,1,2,1,5,30,51.8,2,2,0,3,0,0,0,0,0,0,0,202501040,rav
Dorian Thompson-Robinson,CLE,2,3,13,0,0,1,4,8,75.7,2,3,0,3,0,0,0,0,0,0,0,202501040,rav
D'Onta Foreman,CLE,0,0,0,0,0,0,0,0,,10,27,0,8,1,1,8,0,8,0,0,202501040,rav
Jacob Kibodi,CLE,0,0,0,0,0,0,0,0,,5,24,0,17,3,1,15,0,15,0,0,202501040,rav
Jerry Jeudy,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,13,6,63,0,30,0,0,202501040,rav
Jordan Akins,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,60,1,21,0,0,202501040,rav
Elijah Moore,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,36,0,23,0,0,202501040,rav
Blake Whiteheart,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,1,0,0,202501040,rav
Brenden Bates,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,202501040,rav
Jamari Thrash,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,202501040,rav
Lamar Jackson,BAL,16,32,217,2,0,0,0,30,92.8,9,63,0,19,0,0,0,0,0,0,0,202501040,rav
Derrick Henry,BAL,0,0,0,0,0,0,0,0,,20,138,2,43,3,2,23,0,13,0,0,202501040,rav
Keaton Mitchell,BAL,0,0,0,0,0,0,0,0,,4,10,0,4,0,0,0,0,0,0,0,202501040,rav
Zay Flowers,BAL,0,0,0,0,0,0,0,0,,1,9,0,9,2,1,12,0,12,0,0,202501040,rav
Rashod Bateman,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,76,1,24,0,0,202501040,rav
Mark Andrews,BAL,0,0,0,0,0,0,0,0,,1,0,0,0,8,4,54,1,30,0,0,202501040,rav
Isaiah Likely,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,38,0,19,0,0,202501040,rav
Patrick Ricard,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,14,0,14,0,0,202501040,rav
Tylan Wallace,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,202501040,rav
Rasheen Ali,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0,202501040,rav
