Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att.1,Yds.2,TD.1,Lng.1,Tgt,Rec,Yds.3,TD.2,Lng.2,Fmb,FL,fecha,team
Aaron Rodgers,NYJ,22,35,151,0,0,3,23,15,72.4,0,0,0,0,0,0,0,0,0,1,1,202411100,crd
Breece Hall,NYJ,0,0,0,0,0,0,0,0,,10,52,0,14,4,4,31,0,15,0,0,202411100,crd
Braelon Allen,NYJ,0,0,0,0,0,0,0,0,,7,27,0,12,1,1,7,0,7,0,0,202411100,crd
Garrett Wilson,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,41,0,12,0,0,202411100,crd
Davante Adams,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,13,6,31,0,14,0,0,202411100,crd
Jeremy Ruckert,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,17,0,12,0,0,202411100,crd
Isaiah Davis,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,10,0,10,0,0,202411100,crd
Tyler Conklin,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,8,0,8,0,0,202411100,crd
Kenny Yeboah,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,4,0,0,202411100,crd
Malachi Corley,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,2,0,2,0,0,202411100,crd
Xavier Gipson,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,202411100,crd
Kyler Murray,ARI,22,24,266,1,0,1,7,44,126.7,3,21,2,12,0,0,0,0,0,1,0,202411100,crd
Trey Benson,ARI,0,0,0,0,0,0,0,0,,10,62,0,14,2,2,25,0,19,0,0,202411100,crd
James Conner,ARI,0,0,0,0,0,0,0,0,,12,33,1,12,5,5,80,0,44,0,0,202411100,crd
Emari Demercado,ARI,0,0,0,0,0,0,0,0,,3,22,0,14,0,0,0,0,0,0,0,202411100,crd
DeeJay Dallas,ARI,0,0,0,0,0,0,0,0,,3,10,0,6,0,0,0,0,0,0,0,202411100,crd
Trey McBride,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,71,0,23,0,0,202411100,crd
Marvin Harrison Jr.,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,54,1,18,0,0,202411100,crd
Michael Wilson,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,24,0,11,0,0,202411100,crd
Elijah Higgins,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,13,0,11,0,0,202411100,crd
Greg Dortch,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,-1,0,-1,0,0,202411100,crd
Clayton Tune,ARI,0,0,0,0,0,0,0,0,,1,-1,0,0,0,0,0,0,0,0,0,202411100,crd
