Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att.1,Yds.2,TD.1,Lng.1,Tgt,Rec,Yds.3,TD.2,Lng.2,Fmb,FL,fecha,team
Brandon Allen,SFO,17,29,199,1,1,2,2,31,76.7,2,5,0,6,0,0,0,0,0,2,1,202411240,gnb
Christian McCaffrey,SFO,0,0,0,0,0,0,0,0,,11,31,0,9,4,3,37,0,23,1,1,202411240,gnb
Jordan Mason,SFO,0,0,0,0,0,0,0,0,,3,8,0,16,2,1,5,0,5,1,0,202411240,gnb
George Kittle,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,6,6,82,1,31,0,0,202411240,gnb
Jauan Jennings,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,40,0,20,0,0,202411240,gnb
Deebo Samuel,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,21,0,21,0,0,202411240,gnb
Kyle Juszczyk,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,14,0,14,0,0,202411240,gnb
Chris Conley,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,202411240,gnb
Eric Saubert,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,202411240,gnb
Jordan Love,GNB,13,23,163,2,0,2,7,29,107.7,1,2,0,2,0,0,0,0,0,0,0,202411240,gnb
Josh Jacobs,GNB,0,0,0,0,0,0,0,0,,26,106,3,18,1,0,0,0,0,0,0,202411240,gnb
Emanuel Wilson,GNB,0,0,0,0,0,0,0,0,,9,41,0,19,0,0,0,0,0,0,0,202411240,gnb
Chris Brooks,GNB,0,0,0,0,0,0,0,0,,4,11,0,5,1,1,15,0,15,0,0,202411240,gnb
Bo Melton,GNB,0,0,0,0,0,0,0,0,,1,5,0,5,1,0,0,0,0,0,0,202411240,gnb
Christian Watson,GNB,0,0,0,0,0,0,0,0,,1,4,0,4,3,0,0,0,0,0,0,202411240,gnb
Romeo Doubs,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,54,0,29,0,0,202411240,gnb
Tucker Kraft,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,26,1,15,0,0,202411240,gnb
Jayden Reed,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,26,0,13,0,0,202411240,gnb
Dontayvion Wicks,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,25,0,25,0,0,202411240,gnb
Malik Heath,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,15,1,12,0,0,202411240,gnb
John FitzPatrick,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,2,0,0,202411240,gnb
