Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att.1,Yds.2,TD.1,Lng.1,Tgt,Rec,Yds.3,TD.2,Lng.2,Fmb,FL,fecha,team
Justin Fields,CHI,13,21,179,1,1,4,32,26,85.2,14,82,1,20,0,0,0,0,0,4,0,202210240,nwe
Khalil Herbert,CHI,0,0,0,0,0,0,0,0,,12,62,0,13,2,1,25,1,25,0,0,202210240,nwe
David Montgomery,CHI,0,0,0,0,0,0,0,0,,15,62,1,12,0,0,0,0,0,0,0,202210240,nwe
Dante Pettis,CHI,0,0,0,0,0,0,0,0,,1,29,0,29,1,1,2,0,2,1,0,202210240,nwe
Trestan Ebner,CHI,0,0,0,0,0,0,0,0,,3,8,0,5,0,0,0,0,0,0,0,202210240,nwe
Darnell Mooney,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,53,0,20,0,0,202210240,nwe
Equanimeous St. Brown,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,48,0,19,0,0,202210240,nwe
Cole Kmet,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,32,0,26,0,0,202210240,nwe
N'Keal Harry,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,14,0,14,0,0,202210240,nwe
Ryan Griffin,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,5,0,0,202210240,nwe
Bailey Zappe,NWE,14,22,185,1,2,1,8,43,67.4,2,-1,0,0,0,0,0,0,0,1,1,202210240,nwe
Mac Jones,NWE,3,6,13,0,1,0,0,12,16.7,3,24,0,10,0,0,0,0,0,0,0,202210240,nwe
Rhamondre Stevenson,NWE,0,0,0,0,0,0,0,0,,11,39,1,7,8,8,59,0,20,0,0,202210240,nwe
Damien Harris,NWE,0,0,0,0,0,0,0,0,,3,8,0,4,2,1,2,0,2,0,0,202210240,nwe
DeVante Parker,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,68,0,43,0,0,202210240,nwe
Jakobi Meyers,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,34,1,30,0,0,202210240,nwe
Tyquan Thornton,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,5,1,19,0,19,0,0,202210240,nwe
Hunter Henry,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,12,0,12,0,0,202210240,nwe
Jonnu Smith,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,4,0,4,0,0,202210240,nwe
Nelson Agholor,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,202210240,nwe
