Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att.1,Yds.2,TD.1,Lng.1,Tgt,Rec,Yds.3,TD.2,Lng.2,Fmb,FL,fecha,team
Deshaun Watson,CLE,9,18,169,3,0,5,14,46,122.5,8,31,0,21,0,0,0,0,0,0,0,202301010,was
Nick Chubb,CLE,0,0,0,0,0,0,0,0,,14,104,0,35,1,1,12,0,12,0,0,202301010,was
Jerome Ford,CLE,0,0,0,0,0,0,0,0,,5,9,0,9,0,0,0,0,0,0,0,202301010,was
Jacoby Brissett,CLE,0,0,0,0,0,0,0,0,,1,2,0,2,0,0,0,0,0,0,0,202301010,was
Amari Cooper,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,105,2,46,0,0,202301010,was
David Njoku,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,21,0,21,0,0,202301010,was
Harrison Bryant,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,19,0,12,0,0,202301010,was
Donovan Peoples-Jones,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,13,1,13,0,0,202301010,was
Jack Conklin,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,202301010,was
Kareem Hunt,CLE,0,0,0,0,0,0,0,0,,2,0,0,4,1,1,-1,0,-1,0,0,202301010,was
Carson Wentz,WAS,16,28,143,0,3,3,19,23,31.4,3,7,1,4,0,0,0,0,0,0,0,202301010,was
Brian Robinson Jr.,WAS,0,0,0,0,0,0,0,0,,24,87,0,14,1,0,0,0,0,0,0,202301010,was
Jonathan Williams,WAS,0,0,0,0,0,0,0,0,,9,30,0,12,5,3,3,0,6,0,0,202301010,was
Terry McLaurin,WAS,0,0,0,0,0,0,0,0,,1,12,0,12,5,2,25,0,23,0,0,202301010,was
Logan Thomas,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,56,0,15,0,0,202301010,was
Jahan Dotson,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,7,3,37,0,20,0,0,202301010,was
Cam Sims,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,16,0,16,0,0,202301010,was
Curtis Samuel,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,6,0,6,0,0,202301010,was
