Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att.1,Yds.2,TD.1,Lng.1,Tgt,Rec,Yds.3,TD.2,Lng.2,Fmb,FL,fecha,team
Kyle Allen,HOU,26,39,215,1,2,5,41,39,67.8,4,12,0,5,0,0,0,0,0,2,0,202211270,mia
Dare Ogunbowale,HOU,0,0,0,0,0,0,0,0,,4,14,1,9,2,1,6,0,6,0,0,202211270,mia
Dameon Pierce,HOU,0,0,0,0,0,0,0,0,,5,8,0,4,6,3,8,0,9,0,0,202211270,mia
Brandin Cooks,HOU,0,0,0,0,0,0,0,0,,1,2,0,2,5,5,59,0,39,0,0,202211270,mia
Jordan Akins,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,61,1,25,1,1,202211270,mia
Nico Collins,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,9,6,44,0,12,0,0,202211270,mia
Teagan Quitoriano,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,20,0,13,0,0,202211270,mia
Chris Moore,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,7,0,4,0,0,202211270,mia
Rex Burkhead,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,5,0,5,0,0,202211270,mia
Phillip Dorsett,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,5,0,5,0,0,202211270,mia
O.J. Howard,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0,202211270,mia
Tua Tagovailoa,MIA,22,36,299,1,0,4,26,34,96.9,0,0,0,0,0,0,0,0,0,0,0,202211270,mia
Skylar Thompson,MIA,1,5,6,0,0,1,6,6,39.6,6,5,0,3,0,0,0,0,0,1,1,202211270,mia
Jeff Wilson,MIA,0,0,0,0,0,0,0,0,,13,39,1,9,3,1,13,0,13,0,0,202211270,mia
Myles Gaskin,MIA,0,0,0,0,0,0,0,0,,6,17,0,10,1,1,4,0,4,0,0,202211270,mia
Tyreek Hill,MIA,0,0,0,0,0,0,0,0,,1,5,0,5,9,6,85,0,29,0,0,202211270,mia
Jaylen Waddle,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,10,5,85,0,34,0,0,202211270,mia
River Cracraft,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,55,0,22,0,0,202211270,mia
Trent Sherfield,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,33,0,24,0,0,202211270,mia
Cedrick Wilson Jr.,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,26,0,20,0,0,202211270,mia
Durham Smythe,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,1,4,0,0,202211270,mia
Alec Ingold,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0,202211270,mia
Mike Gesicki,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,202211270,mia
