Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att.1,Yds.2,TD.1,Lng.1,Tgt,Rec,Yds.3,TD.2,Lng.2,Fmb,FL,fecha,team
Josh Allen,BUF,26,31,297,3,2,2,5,53,112.0,10,56,1,13,0,0,0,0,0,0,0,202209080,ram
Devin Singletary,BUF,0,0,0,0,0,0,0,0,,8,48,0,13,2,2,14,0,8,0,0,202209080,ram
Zack Moss,BUF,0,0,0,0,0,0,0,0,,6,15,0,8,6,6,21,0,8,1,1,202209080,ram
James Cook,BUF,0,0,0,0,0,0,0,0,,1,2,0,2,0,0,0,0,0,1,1,202209080,ram
Stefon Diggs,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,9,8,122,1,53,0,0,202209080,ram
Gabriel Davis,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,88,1,47,0,0,202209080,ram
Jamison Crowder,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,28,0,11,0,0,202209080,ram
Isaiah McKenzie,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,19,1,12,0,0,202209080,ram
Dawson Knox,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,5,0,5,0,0,202209080,ram
Matthew Stafford,LAR,29,41,240,1,3,7,49,28,63.1,1,2,0,2,0,0,0,0,0,1,0,202209080,ram
Darrell Henderson,LAR,0,0,0,0,0,0,0,0,,13,47,0,18,5,5,26,0,10,0,0,202209080,ram
Brandon Powell,LAR,0,0,0,0,0,0,0,0,,1,3,0,3,1,1,10,0,10,0,0,202209080,ram
Cooper Kupp,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,15,13,128,1,28,0,0,202209080,ram
Tyler Higbee,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,11,5,39,0,11,0,0,202209080,ram
Ben Skowronek,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,25,0,12,0,0,202209080,ram
Allen Robinson,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,12,0,12,0,0,202209080,ram
Cam Akers,LAR,0,0,0,0,0,0,0,0,,3,0,0,0,0,0,0,0,0,0,0,202209080,ram
Tutu Atwell,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,202209080,ram
